ad_id,ad_name,ad_type,image_path,impressions,clicks,ctr,cpc,spend,frequency,object_count,person_present,largest_object_area,center_object,left_object,right_object,top_object,bottom_object,ocr_text_length,ocr_word_count,cta_present,brightness,contrast,dominant_r,dominant_g,dominant_b,color_variance,ad_text_word_count,promotional_word_presence,emoji_count,cta_in_text
120238702061430015,DSM PT 8- 699,image,ads_images\120238702061430015.jpg,1174,21,1.788756,6.87,144.27,1.340183,0,0,0.0,0,0,0,0,0,0,0,0,192.978,58.713,175.425,204.516,179.583,64.687,0,0,0,0
120238702061440015,DSM PT 5 Updated - 699,image,ads_images\120238702061440015.jpg,5371,105,1.954943,6.310857,662.64,1.441105,0,0,0.0,0,0,0,0,0,0,0,0,210.176,33.964,209.158,213.239,197.329,36.065,0,0,0,0
120238967218870015,Dr Bimal Recommends DSM Statics 699 – Copy,image,ads_images\120238967218870015.jpg,1307,10,0.765111,4.705,47.05,1.371459,2,1,0.452884,0,1,0,0,0,0,0,0,179.016,83.762,178.752,179.712,176.122,84.712,0,0,0,0
120238702061410015,DSM PT 6- 699,image,ads_images\120238702061410015.jpg,30561,443,1.44956,4.012799,1777.67,1.696231,1,1,0.032476,1,0,0,0,0,0,0,0,107.079,80.585,123.396,106.146,69.109,85.655,0,0,0,0
120238967218860015,Support HWM  DSM Statics 699 – Copy,image,ads_images\120238967218860015.jpg,8949,80,0.893955,3.4515,276.12,1.478685,2,1,0.452657,0,1,0,0,0,0,0,0,178.665,83.506,178.357,179.361,175.828,84.461,0,0,0,0
120238967218850015,Dr Bimal Jaadu diet  DSM Statics 699 – Copy,image,ads_images\120238967218850015.jpg,1714,21,1.225204,2.285714,48.0,1.205345,2,1,0.447255,0,1,0,0,0,0,0,0,178.806,83.627,178.501,179.509,175.9,84.578,0,0,0,0
120238967218880015,Manage your weight naturally DSM Statics 699 – Copy,image,ads_images\120238967218880015.jpg,3944,46,1.166329,2.730217,125.59,1.464538,2,1,0.446997,0,1,0,0,0,0,0,0,177.633,83.672,177.249,178.303,175.1,84.567,0,0,0,0
120238702061360015,DSM PT 9- 899,image,ads_images\120238702061360015.jpg,3042,78,2.564103,3.757692,293.1,1.281382,0,0,0.0,0,0,0,0,0,0,0,0,123.366,46.502,132.977,121.332,108.371,48.725,0,0,0,0
120238702061260015,DSM PT 8- 699,image,ads_images\120238702061260015.jpg,706,10,1.416431,9.815,98.15,1.22357,0,0,0.0,0,0,0,0,0,0,0,0,192.978,58.713,175.425,204.516,179.583,64.687,0,0,0,0
120238702061240015,DSM PT 6- 699,image,ads_images\120238702061240015.jpg,2023,24,1.186357,5.922083,142.13,1.323953,1,1,0.032476,1,0,0,0,0,0,0,0,107.079,80.585,123.396,106.146,69.109,85.655,0,0,0,0
120238702061250015,DSM PT 5 Updated - 699,image,ads_images\120238702061250015.jpg,1735,18,1.037464,12.435,223.83,1.237518,0,0,0.0,0,0,0,0,0,0,0,0,210.176,33.964,209.158,213.239,197.329,36.065,0,0,0,0
120238967176020015,Dr Bimal Jaadu diet  DSM Statics 699 – Copy,image,ads_images\120238967176020015.jpg,4790,46,0.960334,2.555217,117.54,1.251633,2,1,0.447255,0,1,0,0,0,0,0,0,178.806,83.627,178.501,179.509,175.9,84.578,0,0,0,0
120238967175990015,Manage your weight naturally DSM Statics 699 – Copy,image,ads_images\120238967175990015.jpg,11154,126,1.12964,1.94881,245.55,1.295922,2,1,0.446997,0,1,0,0,0,0,0,0,177.633,83.672,177.249,178.303,175.1,84.567,0,0,0,0
120238838152350015,DSM PT 6- 699,image,ads_images\120238838152350015.jpg,23865,323,1.353446,3.189659,1030.26,1.455094,1,1,0.032476,1,0,0,0,0,0,0,0,107.079,80.585,123.396,106.146,69.109,85.655,0,0,0,0
120239002544150015,Dr Bimal Jaadu diet  DSM Statics 699 – Copy,image,ads_images\120239002544150015.jpg,1433,12,0.837404,2.535833,30.43,1.187241,2,1,0.447255,0,1,0,0,0,0,0,0,178.806,83.627,178.501,179.509,175.9,84.578,0,0,0,0
120239002544130015,DSM PT 5 Updated - 699,image,ads_images\120239002544130015.jpg,60,4,6.666667,0.7575,3.03,1.052632,0,0,0.0,0,0,0,0,0,0,0,0,210.176,33.964,209.158,213.239,197.329,36.065,0,0,0,0
120239002544120015,Support HWM  DSM Statics 699 – Copy,image,ads_images\120239002544120015.jpg,12754,133,1.04281,1.792406,238.39,1.37896,2,1,0.452657,0,1,0,0,0,0,0,0,178.665,83.506,178.357,179.361,175.828,84.461,0,0,0,0
120238652916950015,DSM PT 4 Updated - 699,image,ads_images\120238652916950015.jpg,550,9,1.636364,29.491111,265.42,1.255708,0,0,0.0,0,0,0,0,0,0,0,0,179.775,53.097,189.906,179.666,153.752,58.996,0,0,0,0
120238652916930015,DSM PT 6- 699,image,ads_images\120238652916930015.jpg,1782,13,0.729517,37.642308,489.35,1.306452,1,1,0.032476,1,0,0,0,0,0,0,0,107.079,80.585,123.396,106.146,69.109,85.655,0,0,0,0
120238883350260015,Dr Bimal Recommends DSM Statics 699,image,ads_images\120238883350260015.jpg,1264,18,1.424051,23.138889,416.5,1.49763,2,1,0.452884,0,1,0,0,0,0,0,0,179.016,83.762,178.752,179.712,176.122,84.712,0,0,0,0
120238692603770015,DSM MPT 2 Updated - 699,image,ads_images\120238692603770015.jpg,1702,32,1.880141,19.405938,620.99,1.346519,1,1,0.227413,0,0,1,0,0,0,0,0,111.158,55.149,117.58,109.59,102.35,56.363,0,0,0,0
120238838152330015,DSM PT 8- 699,image,ads_images\120238838152330015.jpg,2321,49,2.111159,2.821837,138.27,1.21201,0,0,0.0,0,0,0,0,0,0,0,0,192.978,58.713,175.425,204.516,179.583,64.687,0,0,0,0
120238838152320015,DSM PT 5 Updated - 699,image,ads_images\120238838152320015.jpg,796,12,1.507538,5.209167,62.51,1.381944,0,0,0.0,0,0,0,0,0,0,0,0,210.176,33.964,209.158,213.239,197.329,36.065,0,0,0,0
120238967176010015,Dr Bimal Recommends DSM Statics 699 – Copy,image,ads_images\120238967176010015.jpg,3819,39,1.02121,1.937692,75.57,1.26457,2,1,0.452884,0,1,0,0,0,0,0,0,179.016,83.762,178.752,179.712,176.122,84.712,0,0,0,0
120238967176000015,Support HWM  DSM Statics 699 – Copy,image,ads_images\120238967176000015.jpg,6600,68,1.030303,2.181765,148.36,1.330913,2,1,0.452657,0,1,0,0,0,0,0,0,178.665,83.506,178.357,179.361,175.828,84.461,0,0,0,0
120238964760670015,Support HWM  DSM Statics 699,image,ads_images\120238964760670015.jpg,678,3,0.442478,43.27,129.81,1.293893,2,1,0.452657,0,1,0,0,0,0,0,0,178.665,83.506,178.357,179.361,175.828,84.461,0,0,0,0
120239002544170015,Manage your weight naturally DSM Statics 699 – Copy,image,ads_images\120239002544170015.jpg,90,0,0.0,0.0,1.27,1.034483,2,1,0.446997,0,1,0,0,0,0,0,0,177.633,83.672,177.249,178.303,175.1,84.567,0,0,0,0
120239002544180015,DSM PT 6- 699,image,ads_images\120239002544180015.jpg,2194,38,1.731996,2.575,97.85,1.171383,1,1,0.032476,1,0,0,0,0,0,0,0,107.079,80.585,123.396,106.146,69.109,85.655,0,0,0,0
120238838152340015,DSM PT 9- 899,image,ads_images\120238838152340015.jpg,2076,79,3.805395,2.236076,176.65,1.435685,0,0,0.0,0,0,0,0,0,0,0,0,123.366,46.502,132.977,121.332,108.371,48.725,0,0,0,0
120238964797660015,Manage your weight naturally DSM Statics 699,image,ads_images\120238964797660015.jpg,7495,66,0.880587,17.454242,1151.98,1.917861,2,1,0.446997,0,1,0,0,0,0,0,0,177.633,83.672,177.249,178.303,175.1,84.567,0,0,0,0
120238651454980015,DSM PT 1 Updated - 699,image,ads_images\120238651454980015.jpg,116,4,3.448276,25.2725,101.09,1.303371,0,0,0.0,0,0,0,0,0,0,0,0,95.015,41.389,91.149,94.32,108.713,44.941,0,0,0,0
120238651455070015,DSM Test 1 Carousel - 699,image,ads_images\120238651455070015.jpg,24,0,0.0,0.0,2.4,1.043478,0,0,0.0,0,0,0,0,0,0,0,0,227.523,42.168,226.029,230.506,215.793,48.283,0,0,0,0
120238891558510015,Dr Bimal Jaadu diet  DSM Statics 699,image,ads_images\120238891558510015.jpg,1760,17,0.965909,25.849412,439.44,1.661945,2,1,0.447255,0,1,0,0,0,0,0,0,178.806,83.627,178.501,179.509,175.9,84.578,0,0,0,0
120238652916940015,DSM PT 5 Updated - 699,image,ads_images\120238652916940015.jpg,76,0,0.0,0.0,22.27,1.169231,0,0,0.0,0,0,0,0,0,0,0,0,210.176,33.964,209.158,213.239,197.329,36.065,0,0,0,0
120238652916920015,DSM PT 8- 699,image,ads_images\120238652916920015.jpg,241,7,2.904564,26.492857,185.45,1.17561,0,0,0.0,0,0,0,0,0,0,0,0,192.978,58.713,175.425,204.516,179.583,64.687,0,0,0,0
120238652916910015,DSM PT 7- 699,image,ads_images\120238652916910015.jpg,108,3,2.777778,9.183333,27.55,1.241379,0,0,0.0,0,0,0,0,0,0,0,0,138.039,29.977,169.738,129.403,99.153,41.21,0,0,0,0
120238965464530015,MPT2 699 own child dad,image,ads_images\120238965464530015.jpg,1307,11,0.841622,6.485455,71.34,1.131602,1,1,0.227413,0,0,1,0,0,0,0,0,111.158,55.149,117.58,109.59,102.35,56.363,0,0,0,0
120238839162820015,MPT2 699 own child dad,image,ads_images\120238839162820015.jpg,6348,43,0.677379,5.438837,233.87,1.309406,1,1,0.227413,0,0,1,0,0,0,0,0,111.158,55.149,117.58,109.59,102.35,56.363,0,0,0,0
120238702061420015,DSM PT 9- 899,image,ads_images\120238702061420015.jpg,2605,76,2.917466,3.832368,291.26,1.435262,0,0,0.0,0,0,0,0,0,0,0,0,123.366,46.502,132.977,121.332,108.371,48.725,0,0,0,0
120238965464320015,MPT3 699 Meet Dr Bimal,image,ads_images\120238965464320015.jpg,1448,10,0.690608,4.796,47.96,1.129485,0,0,0.0,0,0,0,0,0,0,0,0,74.662,34.288,65.155,76.29,91.189,36.691,0,0,0,0
120238965464290015,MPT4 699 Dr Bimal Qualifications,image,ads_images\120238965464290015.jpg,144,1,0.694444,4.49,4.49,1.051095,0,0,0.0,0,0,0,0,0,0,0,0,147.225,32.539,150.167,145.872,145.966,32.577,0,0,0,0
120238965464300015,MPT1 699 Start my wl journey UGC,image,ads_images\120238965464300015.jpg,4478,6,0.133988,13.898333,83.39,1.148205,0,0,0.0,0,0,0,0,0,0,0,0,66.922,53.849,77.445,64.035,54.408,54.602,0,0,0,0
120238839162830015,MPT1 699 Start my wl journey UGC,image,ads_images\120238839162830015.jpg,10876,39,0.358588,7.198718,280.75,1.426922,0,0,0.0,0,0,0,0,0,0,0,0,66.922,53.849,77.445,64.035,54.408,54.602,0,0,0,0
120238839162840015,MPT4 699 Dr Bimal Qualifications,image,ads_images\120238839162840015.jpg,1495,9,0.602007,7.944444,71.5,1.203704,0,0,0.0,0,0,0,0,0,0,0,0,147.225,32.539,150.167,145.872,145.966,32.577,0,0,0,0
120238839162850015,MPT3 699 Meet Dr Bimal,image,ads_images\120238839162850015.jpg,2289,12,0.524246,9.2175,110.61,1.154894,0,0,0.0,0,0,0,0,0,0,0,0,74.662,34.288,65.155,76.29,91.189,36.691,0,0,0,0
